date,Temperature,GHR,Pyranometer,Temperature probe,Sun azimuth,Clearness index,Month,Hour,Power
201811201315,684,108,11.7,3.6,-0.838218367904498,1.13298824524626,0.866025403784438,-1,11.69101
201811201330,673,113,11.7,2.9,-0.804210496347947,1.18705363069524,0.866025403784438,-1,11.52186
201811201345,653,107,11.5,5.3,-0.768895301953163,1.24005749795571,0.866025403784438,-1,11.30525
201811201400,584,104,11.2,3.3,-0.732684647682743,1.20960657664135,0.866025403784438,-4.28626379701574e-16,10.77925
201811201415,425,114,11.7,3.6,-0.695922563349182,0.975270017827755,0.866025403784438,-4.28626379701574e-16,7.74353
201811201430,317,105,11.2,0.9,-0.658887182891096,0.821849895898275,0.866025403784438,-4.28626379701574e-16,5.756973
201811201445,233,91,10.6,2.5,-0.621795546199488,0.700054466601117,0.866025403784438,-4.28626379701574e-16,4.461873
201811201500,211,95,10.7,2,-0.584809956540766,0.760768209380578,0.866025403784438,1,4.087307
201811201515,229,98,10.4,1.4,-0.548044903106656,1.04322018829196,0.866025403784438,1,4.434334
201811201530,141,71,10.2,1.5,-0.5115738629679,0.883663686824798,0.866025403784438,1,2.696256
201811201545,117,77,9.900001,2.2,-0.475435550810474,1.19682271216715,0.866025403784438,1,2.277988
201811201600,97,63,9.6,3.1,-0.439639376912428,2.82266027026057,0.866025403784438,5.51091059616309e-16,1.831835
201811201615,52,39,9.400001,2.5,-0.404170006990367,-1.71345617871553,0.866025403784438,5.51091059616309e-16,0.990796
201811201630,37,28,8.900001,2.8,-0.368991001658625,-0.385005523802474,0.866025403784438,5.51091059616309e-16,0.636437
201811201645,18,14,8.7,1.2,-0.334047559891629,-0.110689282381974,0.866025403784438,5.51091059616309e-16,0.326821
201811201700,5,3,8.5,1.2,-0.299268410347862,-0.0217762491806701,0.866025403784438,-1,0.092313
201811201715,0,0,8.2,0.4,-0.264566894959087,-0,0.866025403784438,-1,0
201811201730,0,0,7.9,1.2,-0.229841276896231,-0,0.866025403784438,-1,0
201811201745,0,0,7.4,2,-0.194974283670691,-0,0.866025403784438,-1,0
201811201800,0,0,7.1,0.9,-0.159831867988526,-0,0.866025403784438,-2.44991257893129e-15,0
201811201815,0,0,7.1,1.8,-0.124261135348123,-0,0.866025403784438,-2.44991257893129e-15,0
201811210730,13,9,6.3,2.2,-0.610711216858395,0.0417180199886692,0.866025403784438,1,0.23647
201811210745,33,19,6.6,3.4,-0.647728049302499,0.0903432882500343,0.866025403784438,1,0.616866
201811210800,60,35,6.4,2.6,-0.684736092794389,0.14416709523978,0.866025403784438,6.12323399573677e-17,1.694837
201811210815,92,56,6.7,2,-0.721536740246003,0.198220780131474,0.866025403784438,6.12323399573677e-17,2.637773
201811210830,178,57,6.9,0,-0.757872770605418,0.349771478391085,0.866025403784438,6.12323399573677e-17,3.556982
201811210845,338,44,7,2.6,-0.793423106139874,0.614192241737414,0.866025403784438,6.12323399573677e-17,6.631151
201811210900,411,44,7.4,1.9,-0.827799983154393,0.698754526423231,0.866025403784438,-1,7.904776
201811210915,487,44,7.8,4,-0.860550004063246,0.782504280236425,0.866025403784438,-1,9.185963
